MMSI,DESTINATION,DRAUGHT,DESTINATION_KEY,first(DT_POS_UTC),last(DT_POS_UTC),count*(SEQ_NO),PERIOD
538008382,FUJAIRAH UAE,14.2,1,2019-09-23 05:00:00,2019-09-25 10:50:18,472,2
538008382,YOSU  KOREA,20.4,2,2019-09-25 10:58:07,2019-10-23 22:19:10,4119,28
538008382,SINGAPORE PJSB,10.7,3,2019-10-23 22:20:33,2019-10-24 08:13:12,154,0
538008382,FUJAIRAH,10.7,4,2019-10-24 08:22:31,2019-10-24 10:04:31,32,0
538008382,FUJAIPA,10.7,5,2019-10-24 10:11:02,2019-10-24 10:11:02,1,0
538008382,FUJAIRAH,10.7,6,2019-10-24 10:14:32,2019-11-12 10:22:21,3962,19
538008382,RAS TANURAH KSA,10.7,7,2019-11-12 10:33:56,2019-11-15 11:10:22,190,3
538008382,DAS ISLAND UAE,15.3,8,2019-11-19 02:04:23,2019-11-30 03:59:21,1668,11
538008382,YOSU SOUTH KOREA,20.5,9,2019-11-30 04:06:51,2019-12-13 11:40:42,1451,13
538008382,KEOJ SOUTH KOREA,9.6,10,2019-12-13 11:52:44,2019-12-16 08:46:17,150,2
538008382,QUINGDAO CN,20.5,11,2019-12-16 08:58:26,2019-12-18 16:59:14,326,2
538008382,QINGDAO CN,20.5,12,2019-12-18 17:07:41,2019-12-25 22:16:41,758,7
538008382,ZIRKU ISLAND UAE,10.7,13,2019-12-25 22:22:43,2019-12-31 03:12:02,967,5
538008382,FUJAIRAH UAE,10.7,14,2019-12-31 03:18:08,2020-01-13 13:10:42,2114,13
538008382,FUJAIRAH UAE    !RD,10.7,15,2020-01-13 13:17:38,2020-01-13 13:22:11,2,0
538008382,FUJAIRAH UAE,10.7,16,2020-01-13 13:32:20,2020-01-17 15:59:46,349,4
538008382,JEBEL DHANNA UAE,11.6,17,2020-01-17 16:04:52,2020-01-18 18:04:52,85,1
538008382,DAS IS. UAE,14.0,18,2020-01-18 18:10:52,2020-02-03 21:51:06,2239,16
538008382,YOSU SOUTH KOREA,20.3,19,2020-02-03 21:59:46,2020-02-23 10:14:47,2950,19
538008382,KHOR FAKKAN UAE,10.8,20,2020-02-23 10:20:09,2020-03-07 06:32:26,1926,12
538008382,FUJAIRAH UAE,10.8,21,2020-03-07 06:47:24,2020-03-07 20:05:16,60,0
538008382,ZIRKU IS. UAE,10.8,22,2020-03-07 20:11:17,2020-03-10 00:31:16,206,2
538008382,RAS TANURAH KSA,14.6,23,2020-03-10 00:35:17,2020-03-10 13:35:18,47,0
538008382,RAS TANURAH KSA   HF,14.6,24,2020-03-10 13:41:17,2020-03-10 13:41:17,1,0
538008382,RAS TANURAH KSA,14.6,25,2020-03-10 13:47:21,2020-03-12 15:53:18,299,2
538008382,RAS TANURAH KSA   H>,14.6,26,2020-03-12 16:25:39,2020-03-12 16:25:39,1,0
538008382,RAS TANURAH KSA,14.6,27,2020-03-12 16:37:37,2020-03-14 15:58:06,135,1
538008382,YOSU SOUTH KOREA,19.7,28,2020-03-14 16:08:36,2020-03-31 23:55:50,2907,17
